      Phi             z    Detector    Traza
4.48196    -13.4332               3       55
4.49188    -17.9486               4       55
4.68312      1.63245              1       56
4.67789      4.48256              2       56
4.67491      7.33423              3       56
4.67176     10.1821               4       56
1.10962      5.77253              1       57
1.11961     12.8906               2       57
1.131       20.0067               3       57
1.11454     27.1233               4       57
5.67556      1.69475              1       58
5.65151      6.2214               2       58
5.66554     10.7455               3       58
5.65427     15.2703               4       58
3.47789      5.1783               1       59
3.45404      6.28035              2       59
3.46744      7.38186              3       59
3.46868      8.483                4       59
1.63535      3.61208              1       60
1.62008      8.81277              2       60
1.62334     14.0139               3       60
1.62954     19.2136               4       60
0.881154     0.190829             1       61
0.882512     0.618549             2       61
0.896414     1.04955              3       61
0.888981     1.47934              4       61
1.72078      0.195884             1       62
1.72515     -0.729334             2       62
1.73255     -1.66013              3       62
1.72723     -2.59117              4       62
5.9539       0.410574             1       63
5.94548      2.20767              2       63
5.95093      4.00397              3       63
5.93411      5.80217              4       63
3.47335      0.543882             1       64
3.44693      0.430569             2       64
3.44961      0.315004             3       64
3.44338      0.199056             4       64
2.875       -7.14763              1       65
2.85341    -14.5782               2       65
2.85886    -22.0102               3       65
2.85352    -29.4404               4       65
1.55036      0.11264              1       66
1.55191     -0.182069             2       66
1.54415     -0.476181             3       66
1.53491     -0.772974             4       66
0.621934     5.13236              1       67
0.662777     9.64324              2       67
0.656901    14.1557               3       67
0.653045    18.6667               4       67
3.26052      1.66807              1       68
3.2497       2.02698              2       68
3.24659      2.38865              3       68
3.22173      2.75045              4       68
0.527342    -3.22995              1       69
0.526019    -7.7953               2       69
0.512593   -12.3585               3       69
0.533953   -16.9258               4       69
5.02248      7.03938              1       70
5.02049     13.5507               2       70
5.02598     20.0615               3       70
5.0094      26.5752               4       70
5.5288      -4.51482              1       71
5.51787     -6.74637              2       71
5.50574     -8.97709              3       71
5.50468    -11.2082               4       71
5.83811     -5.70988              1       72
5.83359     -9.32695              2       72
5.83064    -12.9435               3       72
5.8451     -16.5618               4       72
2.35993      7.89809              1       73
2.35783     13.2784               2       73
2.39131     18.6567               3       73
2.35464     24.0353               4       73
5.91686      6.39757              1       74
5.90143     15.4088               2       74
5.92038     24.4186               3       74
5.9065      33.4328               4       74
0.0808569    3.99428              1       75
0.100723     7.10326              2       75
0.0691911   10.2161               3       75
0.0908193   13.3289               4       75
1.56991     -1.81131              1       76
1.54913     -0.167741             2       76
1.5515       1.47042              3       76
1.54257      3.1101               4       76
6.07112     -0.886852             1       77
6.06284     -1.63587              2       77
6.07187     -2.38332              3       77
6.07563     -3.13704              4       77
0.838797     1.90026              1       78
0.835642     5.10536              2       78
0.83057      8.31317              3       78
0.834891    11.5189               4       78
5.95295      5.24759              1       79
5.94582      5.7256               2       79
5.96481      6.2055               3       79
5.94482      6.68235              4       79
4.20541      2.41209              1       80
4.22797      5.58307              2       80
4.19947      8.75771              3       80
4.21091     11.9296               4       80
2.82039     -2.81642              1       81
2.81677     -3.40928              2       81
2.82017     -4.00267              3       81
2.8149      -4.59088              4       81
4.49058     -1.43871              1       82
4.51548     -3.187                2       82
4.4901      -4.93367              3       82
4.50051     -6.68234              4       82
0.105894     5.4657               1       83
0.119771    10.5863               2       83
0.102807    15.7055               3       83
0.10688     20.8276               4       83
6.04964     -8.3113               1       84
6.04953    -11.3014               2       84
6.05386    -14.2897               3       84
6.02968    -17.2778               4       84
4.9866      -4.54161              1       85
4.98932     -8.61543              2       85
4.99996    -12.6865               3       85
4.97492    -16.7572               4       85
4.12352     -3.14039              1       86
4.14578     -2.96971              2       86
4.14693     -2.80044              3       86
4.13607     -2.63095              4       86
3.02472      1.45003              1       87
3.02528      5.31469              2       87
3.00931      9.17863              3       87
3.00804     13.0448               4       87
5.85457     -5.96711              1       88
5.87358    -10.6623               2       88
5.86193    -15.3577               3       88
5.87       -20.0517               4       88
5.13382     -2.20024              1       89
5.14213     -4.54242              2       89
5.12217     -6.88077              3       89
5.12792     -9.22451              4       89
2.03626     -0.94937              1       90
2.03112     -1.5083               2       90
2.0287      -2.06391              3       90
2.01459     -2.62299              4       90
1.14235      0.148928             1       91
1.13305     -0.706803             2       91
1.12443     -1.5596               3       91
1.1251      -2.4162               4       91
0.562924     0.568009             1       92
0.545553     1.48029              2       92
0.55364      2.39151              3       92
0.554352     3.3015               4       92
3.83215     -0.16773              1       93
3.85334     -0.428206             2       93
3.85043     -0.689319             3       93
3.84753     -0.948635             4       93
3.12055      7.157                1       94
3.11009     12.2596               2       94
3.11645     17.361                3       94
3.12128     22.4627               4       94
4.09739     -5.22084              1       95
4.09501    -10.6418               2       95
4.11456    -16.0605               3       95
4.10483    -21.4841               4       95
3.72448      1.18909              1       96
3.73145      1.3425               2       96
3.73949      1.49532              3       96
3.75199      1.64935              4       96
1.27319     -2.70929              1       97
1.27725     -4.31131              2       97
